1	What did she advice for people who lack motivation at work?	Furniture	Home	Bicycle	Welcome! I’m so glad you are interested in this beautiful property. This house was built in the 1920s and has maintained much of its original charm. The hardwood floors you see here are completely original, and they’ve been carefully preserved over the years. The same goes for the architecture- those high ceilings and detailed mouldings are a testament to the craftsmanship of that era. However, the furniture you see isn’t original. It was replaced a few years ago to give the home a more modern, functional feel. But don’t worry, the updates blend well with the classic features, giving you the best of both words- historic charm with modern comfort.
2	What did she advice for people who lack motivation at work?	Attend a time management workshop	Request a transfer	Take on additional responsibilities	Many people feel unhappy at work, and often, they think a higher salary or less work will fix it. But that’s not always the solution. Sometimes, the problem is the work environment. A change of place can help improve how we feel at work. However, looking for a new job can be stressful and take time. One option is to ask for a transfer to another branch within the same company. This can offer the same benefits as getting a new job, without the challenges of starting over somewhere new.
3	What time do they meet?	8.00pm	6.30pm	7.00pm	Hey, I was just checking in to confirm what time we’re meeting up tonight. I know we’ve been talking about hanging out, but I wanted to make sure. Are we still on for 6:30? That time works great for me, so I just wanted to double-check if it’s good for you too. Alright, looking forward to it. See you then!
4	Where does she go shopping?	at a new shopping mall	at a department store	at a local market	ko có
5	What is her favorite thing to do in her spare time?	watching a movie at home	going to the theatre	playing sports	Whenever she has some free time, she loves going to the theatre. There's something special about watching live performances that really captures her attention. Whether it’s a play, musical, or even a stand-up comedy show, she enjoys the atmosphere and the excitement of being in a theatre. It’s her favorite way to unwind and escape into a different world for a few hours.
6	Which sports is she good at?	Running	Swimming	Football	She’s always enjoyed sports, and football is the one she’s really good at. She has great control over the ball and is quick on her feet, whether she’s playing with friends or in a competitive setting.
7	The woman is discussing her new exercise routine. How much time does she spend cycling?	45 minutes	35 minutes	60 minutes	Lately, I’ve started a new routine that I’m really enjoying! I decided to involve more exercise into my life. So, I began by walking for about 15 minutes every day, just to get moving. After that, I hop on my bike and cycle for 35 minutes. It’s been refreshing! I love how it helps me clear my mind after a busy day. I’m thinking of sticking with this habit for the long run!
8	When do they meet each other?	On Thursday morning	Wednesday	On monday morning	Hi Professor Smith, this is John calling about our meeting for the assignment. I wanted to confirm our appointment time. I know we discussed a few options earlier. At first, I thought we agreed on Tuesday morning, but then I remembered that doesn’t work with your schedule. Then I considered Thursday afternoon, but I have another class then. So, I’m pretty sure we settled on Thursday morning at 10 AM in your office. That’s what I have written down. I’ll bring my draft and notes for the project. If I’ve got the day or time wrong, or if you need me to bring anything else, please let me know. Looking forward to discussing the assignment with you. Have a great day!
9	A woman is calling her son. What time will the mother meet the son?	Six o’clock	Two o’clock	Three o'clock	Hi, sweetheart! I just wanted to tell you that we’ll meet at 3 o'clock when you finish school. After that, I can take you to your soccer club at 4 o'clock. If you need anything, just let me know, and I can pick it up for you. Then, we can head out to dinner at 5 o'clock. Looking forward to seeing you!
10	Jack is calling to invite a friend to his house. What color is Jack’s house??	Black	Red	Green	Hey! It’s Jack. I just moved to a new house in this busy neighborhood, and it’s really cool! There are so many houses here in different colors—purple, blue, and white. My house is big and red! I’d love for you to come over and check it out. Let me know when you’re free!.
11	A man is talking about his daily routine. What does he do after work?	Go home	Go to the coffee shop	Play football	Every day, I wake up at 7 A.M. and have a quick breakfast before going to work. I usually take the bus, and it takes about 30 minutes to get to the office. At work, I spend most of my time on the computer, answering emails and working on projects. I have lunch at noon and get back to work until 5 P.M. After work, I like to relax by playing football with my friends. It’s a great way to stay active and have fun!
12	A mom is talking to her son. What does the son like to study?	Art	Math	Science	Hey sweetheart, I’m so proud of you! Your art project looks amazing, you’re really talented. I love how you used all those bright colors. You always do such a great job with your drawings. But remember, you also need to spend some time on your other subjects too, like math and science. I know you can do well in those if you try hard, just like you do with art. Let’s work on it together, okay?
13	How many weeks did they spend in India?	Three weeks	Two weeks	Two weeks	They traveled to India for a short trip, and they spent two weeks there. During that time, they explored different cities, experienced the local culture, and visited some famous landmarks. It was a quick but memorable visit.
14	Doctor’s office is calling about a change in the appointment. When is the new appointment?	Thursday 13th	Friday 14th	Wednesday 12th	Hello! This is the doctor’s office calling to change your appointment. I wanted to let you know that the new appointment is on Thursday the 13th. I understand you might have been expecting it to be on Friday the 14th, but we’re all off this day due to the national dentist holiday. Please let us know if that works for you!
15	A man is ordering a drink. What does he want?	Water	Iced tea	Beer	Hi there! I’m really thirsty. Can I have a drink, please? I was thinking about getting a beer, but it's a bit too early for that. Water sounds good, but I’m in the mood for something cooler. I’ll go with an iced tea, please. That sounds perfect for this weather!
16	An author is talking about her daily routine. When does she usually write?	In the afternoons	In the mornings	At night	Every morning, I start my day by going for a run. It helps me clear my mind and gives me energy. After lunch, at around two o’clock, I sit down at my working table, ready to write. My husband is my best critic, so I try to produce something before he gets home in the afternoon.
17	How does he travel?	By car	By plane	By train	He travels most of the time, enjoying the convenience and comfort of his journeys. Whether it's for work or leisure, he finds it the best way to get around, especially because of the scenic views. He travels by train.
